Question,Predicted,answers,label,llm_output
न्यूयोर्क कुन देशमा अवस्थित छ?,न्यूयोर्क **अमेरिका**मा अवस्थित छ।,संयुक्त राज्य अमेरिका,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
लस एन्जलस कुन देशमा अवस्थित छ?,लस एन्जलस **नेपाल**मा अवस्थित छ।,संयुक्त राज्य अमेरिका,cities,"The assistant's response is in the same language but does not align with the reference provided.

Rating: [[4]]"
शिकागो कुन देशमा अवस्थित छ?,शिकागो **अमेरिका**मा अवस्थित छ।,संयुक्त राज्य अमेरिका,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
ह्युस्टन कुन देशमा अवस्थित छ?,ह्युस्टन **अमेरिका**मा अवस्थित छ।,संयुक्त राज्य अमेरिका,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
फिनिक्स कुन देशमा अवस्थित छ?,फिनिक्स **नेपाल**मा अवस्थित छ।,संयुक्त राज्य अमेरिका,cities,"The assistant's response is in the same language but does not align with the reference provided.

Rating: [[4]]"
सान डिएगो कुन देशमा अवस्थित छ?,सान डिएगो **अमेरिका**को एक शहर छ।,संयुक्त राज्य अमेरिका,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
सान फ्रान्सिस्को कुन देशमा अवस्थित छ?,सान फ्रान्सिस्को **अमेरिका**मा अवस्थित छ।,संयुक्त राज्य अमेरिका,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
सिएटल कुन देशमा अवस्थित छ?,सिएटल अमेरिकाको **कोनेक्टिकट** राज्यमा अवस्थित छ।,संयुक्त राज्य अमेरिका,cities,"The assistant's response is in the same language as the reference but does not align with the reference provided, as Seattle is not located in Connecticut but in Washington state.

Rating: [[4]]"
डेन्भर कुन देशमा अवस्थित छ?,डेन्भर **नेपाल**मा अवस्थित छ।,संयुक्त राज्य अमेरिका,cities,"The assistant's response is in the same language as the reference but does not align with the reference provided.

Rating: [[4]]"
मियामी कुन देशमा अवस्थित छ?,मियामी **अमेरिका**मा अवस्थित छ।,संयुक्त राज्य अमेरिका,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
अस्टिन कुन देशमा अवस्थित छ?,अस्टिन **अमेरिका**मा अवस्थित छ।,संयुक्त राज्य अमेरिका,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
बोस्टन कुन देशमा अवस्थित छ?,बोस्टन **अमेरिका**मा अवस्थित छ।,संयुक्त राज्य अमेरिका,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
लास भेगास कुन देशमा अवस्थित छ?,लास भेगास **नेपाल**मा अवस्थित छ।,संयुक्त राज्य अमेरिका,cities,"The assistant's response is in the same language but does not align with the reference provided.

Rating: [[4]]"
ओर्लान्डो कुन देशमा अवस्थित छ?,ओर्लान्डो **नेपाल**मा अवस्थित छ।,संयुक्त राज्य अमेरिका,cities,"The assistant's response is in the same language but does not align with the reference provided.

Rating: [[4]]"
साक्रामेन्टो कुन देशमा अवस्थित छ?,साक्रामेन्टो **नेपाल**मा अवस्थित छ।,संयुक्त राज्य अमेरिका,cities,"The assistant's response is in the same language but does not align with the reference provided.

Rating: [[4]]"
पोर्टल्याण्ड कुन देशमा अवस्थित छ?,"**पोर्टल्याण्ड** **(Portland)** **नेपाल**मा अवस्थित छैन। 

**पोर्टल्याण्ड** **(Portland)** **अमेरिका**मा अवस्थित छ।",संयुक्त राज्य अमेरिका,cities,"The assistant's response is in the same language as the reference and aligns with the reference by correctly stating that Portland is located in the United States (संयुक्त राज्य अमेरिका).

Rating: [[1]]"
टाम्पा कुन देशमा अवस्थित छ?,टाम्पा **नेपाल**मा अवस्थित छ।,संयुक्त राज्य अमेरिका,cities,"The assistant's response is in the same language as the reference but does not align with the reference provided.

Rating: [[4]]"
क्लिभल्याण्ड कुन देशमा अवस्थित छ?,क्लिभल्याण्ड **अमेरिका**मा अवस्थित छ।,संयुक्त राज्य अमेरिका,cities,"The assistant's response is in the same language as the reference and aligns with the reference.

Rating: [[1]]"
मिनियापोलिस कुन देशमा अवस्थित छ?,मिनियापोलिस **अमेरिका**मा अवस्थित छ।,संयुक्त राज्य अमेरिका,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
सान एन्टोनियो कुन देशमा अवस्थित छ?,सान एन्टोनियो **नेपाल**मा अवस्थित छ।,संयुक्त राज्य अमेरिका,cities,"The assistant's response is in the same language but does not align with the reference provided.

Rating: [[4]]"
मुम्बई कुन देशमा अवस्थित छ?,मुम्बई मुम्बई **भारत**मा अवस्थित छ।,भारत,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
दिल्ली कुन देशमा अवस्थित छ?,दिल्ली भारतमा अवस्थित छ।,भारत,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
बेङ्गलुरु कुन देशमा अवस्थित छ?,बेङ्गलुरु **भारत**मा अवस्थित छ।,भारत,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
चेन्नई कुन देशमा अवस्थित छ?,चेन्नई **भारत**मा अवस्थित छ।,भारत,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
हैदराबाद कुन देशमा अवस्थित छ?,"हैदराबाद भारतको कुन देशमा अवस्थित छ? 

हैदराबाद **भारत**मा अवस्थित छ।",भारत,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
अहमदाबाद कुन देशमा अवस्थित छ?,अहमदाबाद **भारत**मा अवस्थित छ।,भारत,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
पुणे कुन देशमा अवस्थित छ?,पुणे **भारत**मा अवस्थित छ।,भारत,cities,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
कोलकाता कुन देशमा अवस्थित छ?,कोलकाता **भारत**मा अवस्थित छ।,भारत,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
जयपुर कुन देशमा अवस्थित छ?,जयपुर **नेपाल**मा अवस्थित छ।,भारत,cities,"The assistant's response is in the same language but does not align with the reference provided.

Rating: [[4]]"
लखनऊ कुन देशमा अवस्थित छ?,लखनऊ भारतको **उत्तर प्रदेश** प्रदेशमा अवस्थित छ।,भारत,cities,"The assistant's response is in the same language as the reference and aligns with the reference, as it correctly states that Lucknow is located in the state of Uttar Pradesh in India.

Rating: [[1]]"
कानपुर कुन देशमा अवस्थित छ?,कानपुर **नेपाल**मा अवस्थित छ।,भारत,cities,"The assistant's response is in the same language as the reference but does not align with the reference provided.

Rating: [[4]]"
नागपुर कुन देशमा अवस्थित छ?,नागपुर **नेपाल**मा अवस्थित छ।,भारत,cities,"The assistant's response is in the same language as the reference but does not align with the reference provided.

Rating: [[4]]"
इन्दौर कुन देशमा अवस्थित छ?,इन्दौर भारतमा अवस्थित छ।,भारत,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
पटना कुन देशमा अवस्थित छ?,पटना **नेपाल**मा अवस्थित छ।,भारत,cities,"The assistant's response is in the same language as the reference but does not align with the reference provided.

Rating: [[4]]"
भोपाल कुन देशमा अवस्थित छ?,भोपाल **नेपाल**मा अवस्थित छ।,भारत,cities,"The assistant's response is in the same language but does not align with the reference provided.

Rating: [[4]]"
वडोदरा कुन देशमा अवस्थित छ?,वडोदरा **भारत**मा अवस्थित छ।,भारत,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
विशाखापट्टनम कुन देशमा अवस्थित छ?,विशाखापट्टनम **भारत**मा अवस्थित छ।,भारत,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
सुरत कुन देशमा अवस्थित छ?,**सुरत** **नेपाल**मा अवस्थित छ।,भारत,cities,"The assistant's response is in the same language as the reference but does not align with the reference provided, as Surat is not located in Nepal but in India.

Rating: [[4]]"
अमृतसर कुन देशमा अवस्थित छ?,अमृतसर **भारत**मा अवस्थित छ।,भारत,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
राजकोट कुन देशमा अवस्थित छ?,राजकोट **नेपाल**मा अवस्थित छ।,भारत,cities,"The assistant's response is in the same language as the reference but does not align with the reference provided.

Rating: [[4]]"
सांघाई कुन देशमा अवस्थित छ?,सांघाई **नेपाल**मा अवस्थित छ।,चीन,cities,"The assistant's response is in the same language but does not align with the reference provided.

Rating: [[4]]"
बेइजिङ कुन देशमा अवस्थित छ?,बेइजिङ **चीन**मा अवस्थित छ।,चीन,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
ग्वाङ्झाउ कुन देशमा अवस्थित छ?,ग्वाङ्झाउ **चीन**मा अवस्थित छ।,चीन,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
शेन्जेन कुन देशमा अवस्थित छ?,शेन्जेन **चीन**मा अवस्थित छ।,चीन,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
चेङ्दु कुन देशमा अवस्थित छ?,चेङ्दु **नेपाल**मा अवस्थित छ।,चीन,cities,"The assistant's response is in the same language but does not align with the reference provided.

Rating: [[4]]"
वुहान कुन देशमा अवस्थित छ?,**वुहान चीनमा अवस्थित छ।**,चीन,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
चोङकिङ कुन देशमा अवस्थित छ?,चोङकिङ **नेपाल**मा अवस्थित छ।,चीन,cities,"The assistant's response is in the same language as the reference but does not align with the reference provided.

Rating: [[4]]"
सियान कुन देशमा अवस्थित छ?,सियान **चीन**मा अवस्थित छ।,चीन,cities,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
हाङजाउ कुन देशमा अवस्थित छ?,हाङजाउ **चीन**मा अवस्थित छ।,चीन,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
सुझोउ कुन देशमा अवस्थित छ?,"मलाई मात्र एक भाषा मन्त्रिको लागि प्रयोग गर्नुहोस्। 

मलाई कुन देशमा अवस्थित छ भन्ने बारेमा जानकारी दिनुहोस्।",चीन,cities,"The assistant's response is in the same language as the reference but does not align with the reference provided. The assistant did not answer the question about the location of Suzhou.

Rating: [[4]]"
टियांजिन कुन देशमा अवस्थित छ?,टियांजिन कुन **चीन**मा अवस्थित छ।,चीन,cities,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
नानजिङ कुन देशमा अवस्थित छ?,नानजिङ **नेपाल**मा अवस्थित छ।,चीन,cities,"The assistant's response is in the same language as the reference but does not align with the reference provided.

Rating: [[4]]"
हार्बिन कुन देशमा अवस्थित छ?,हार्बिन कुन **नेपाल**मा अवस्थित छ।,चीन,cities,"The assistant's response is in the same language as the reference but does not align with the reference provided.

Rating: [[4]]"
छिङदाओ कुन देशमा अवस्थित छ?,छिङदाओ **नेपाल**मा अवस्थित छ।,चीन,cities,"The assistant's response is in the same language but does not align with the reference provided.

Rating: [[4]]"
डालियान कुन देशमा अवस्थित छ?,डालियान **नेपाल**मा अवस्थित छ।,चीन,cities,"The assistant's response is in the same language but does not align with the reference provided.

Rating: [[4]]"
शिजियाझुआङ कुन देशमा अवस्थित छ?,शिजियाझुआङ **चीन**मा अवस्थित छ।,चीन,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
फुझाउ कुन देशमा अवस्थित छ?,**फुझाउ भारतको एक ठोस क्षेत्र हो।**,चीन,cities,"The assistant's response is in the same language as the reference but does not align with the reference provided, as Fuzhou is a city in China, not India.

Rating: [[4]]"
झेङझाउ कुन देशमा अवस्थित छ?,"झ्याङझाउ कुन देशमा अवस्थित छ? 

झ्याङझाउ **नेपाल**मा अवस्थित छ।",चीन,cities,"The assistant's response is in the same language as the reference but does not align with the reference provided, as it states that Jingzhao is located in Nepal instead of China.

Rating: [[4]]"
कुनमिङ कुन देशमा अवस्थित छ?,**कुनमिङ** **नेपाल**मा अवस्थित छ।,चीन,cities,"The assistant's response is in the same language as the reference but does not align with the reference provided.

Rating: [[4]]"
चाङ्सा कुन देशमा अवस्थित छ?,चाङ्सा **नेपाल**मा अवस्थित छ।,चीन,cities,"The assistant's response is in the same language but does not align with the reference provided.

Rating: [[4]]"
मस्को कुन देशमा अवस्थित छ?,मस्को **रूस**मा अवस्थित छ।,रूस,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
सेन्ट पिटर्सबर्ग कुन देशमा अवस्थित छ?,सेन्ट पिटर्सबर्ग **कनाडा**मा अवस्थित छ।,रूस,cities,"The assistant's response is in the same language but does not align with the reference provided.

Rating: [[4]]"
नोवोसिबिर्स्क कुन देशमा अवस्थित छ?,नोवोसिबिर्स्क **रूस**मा अवस्थित छ।,रूस,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
येकातेरिनबर्ग कुन देशमा अवस्थित छ?,येकातेरिनबर्ग **नेपाल**मा अवस्थित छ।,रूस,cities,"The assistant's response is in the same language as the reference but does not align with the reference provided.

Rating: [[4]]"
काजान कुन देशमा अवस्थित छ?,काजान **चीन**मा अवस्थित छ।,रूस,cities,"The assistant's response is in the same language as the reference but does not align with the reference provided.

Rating: [[4]]"
निज्नी नोभगोरोड कुन देशमा अवस्थित छ?,निज्नी नोभगोरोड **नेपाल**मा अवस्थित छ।,रूस,cities,"The assistant's response is in the same language but does not align with the reference provided.

Rating: [[4]]"
चेल्याबिन्स्क कुन देशमा अवस्थित छ?,चेल्याबिन्स्क **बलिके** देशमा अवस्थित छ।,रूस,cities,"The assistant's response is in the same language as the reference but does not align with the reference provided, as Chelyabinsk is located in Russia, not in ""बलिके"" (which is not a recognized country).

Rating: [[4]]"
समारा कुन देशमा अवस्थित छ?,समारा **नेपाल**मा अवस्थित छ।,रूस,cities,"The assistant's response is in the same language but does not align with the reference provided.

Rating: [[4]]"
ओम्स्क कुन देशमा अवस्थित छ?,ओम्स्क **रूस**मा अवस्थित छ।,रूस,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
रोस्तोभ-अन-डोन कुन देशमा अवस्थित छ?,रोस्तोभ-अन-डोन **नेपाल**मा अवस्थित छ।,रूस,cities,"The assistant's response is in the same language but does not align with the reference provided.

Rating: [[4]]"
उफा कुन देशमा अवस्थित छ?,उफा **नेपाल**मा अवस्थित छ।,रूस,cities,"The assistant's response is in the same language as the reference but does not align with the reference provided.

Rating: [[4]]"
क्रास्नोयार्स्क कुन देशमा अवस्थित छ?,क्रास्नोयार्स्क **रूस**मा अवस्थित छ।,रूस,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
पर्म कुन देशमा अवस्थित छ?,**पर्म कुन** **नेपाल**मा अवस्थित छ।,रूस,cities,"The assistant's response is in the same language as the reference but does not align with the reference provided.

Rating: [[4]]"
भोरोनेज कुन देशमा अवस्थित छ?,भोरोनेज **नेपाल**मा अवस्थित छ।,रूस,cities,"The assistant's response is in the same language but does not align with the reference provided.

Rating: [[4]]"
भोल्गोग्राड कुन देशमा अवस्थित छ?,भोल्गोग्राड **नेपाल**मा अवस्थित छ।,रूस,cities,"The assistant's response is in the same language as the reference but does not align with the reference provided.

Rating: [[4]]"
साराटोभ कुन देशमा अवस्थित छ?,साराटोभ **नेपाल**मा अवस्थित छ।,रूस,cities,"The assistant's response is in the same language but does not align with the reference provided.

Rating: [[4]]"
क्रास्नोडार कुन देशमा अवस्थित छ?,क्रास्नोडार **नेपाल**मा अवस्थित छ।,रूस,cities,"The assistant's response is in the same language as the reference but does not align with the reference provided.

Rating: [[4]]"
टोल्याट्टी कुन देशमा अवस्थित छ?,टोल्याट्टी **नेपाल**मा अवस्थित छ।,रूस,cities,"The assistant's response is in the same language as the reference but does not align with the reference provided.

Rating: [[4]]"
इजेभ्स्क कुन देशमा अवस्थित छ?,इजेभ्स्क **नेपाल**मा अवस्थित छ।,रूस,cities,"The assistant's response is in the same language but does not align with the reference provided.

Rating: [[4]]"
उल्यानोभस्क कुन देशमा अवस्थित छ?,उल्यानोभस्क **नेपाल**मा अवस्थित छ।,रूस,cities,"The assistant's response is in the same language as the reference but does not align with the reference provided.

Rating: [[4]]"
रियाद कुन देशमा अवस्थित छ?,रियाद **नेपाल**मा अवस्थित छ।,साउदी अरेबिया,cities,"The assistant's response is in the same language but does not align with the reference provided.

Rating: [[4]]"
जेद्दाह कुन देशमा अवस्थित छ?,जेद्दाह **नेपाल**मा अवस्थित छ।,साउदी अरेबिया,cities,"The assistant's response is in the same language but does not align with the reference provided.

Rating: [[4]]"
मक्का कुन देशमा अवस्थित छ?,मक्का **भारत**मा अवस्थित छ।,साउदी अरेबिया,cities,"The assistant's response is in the same language but does not align with the reference provided.

Rating: [[4]]"
