LANGUAGES,United States,India,China,Russia,Saudi Arabia,France,Nepal,Japan,Ukraine,Greece,Turkey,Kenya,Thailand
English,0,0,0,1,9,0,5,0,2,2,0,3,0
Hindi,5,0,6,4,25,7,18,3,18,9,14,33,22
Chinese,2,9,1,4,35,3,36,0,21,11,16,33,12
Russian,2,6,6,0,17,3,27,2,10,3,2,25,6
Arabic,4,8,17,6,19,3,40,2,11,9,12,36,18
French,0,3,2,2,11,0,6,0,6,2,2,7,1
Nepali,4,4,9,8,32,8,6,4,22,15,18,39,30
Japanese,0,9,3,3,31,3,27,0,13,9,7,36,3
Ukrainian,3,6,6,2,20,6,27,0,1,7,2,35,5
Greek,1,6,6,3,20,5,21,3,6,0,2,25,10
Turkish,3,7,5,3,19,3,13,1,4,6,0,12,5
Swahili,1,0,4,9,12,3,9,0,4,1,2,7,1
Thai,6,14,6,4,33,6,39,3,26,15,17,37,0
