MODEL,MEAN_ASS,MEAN_UNASS,Std_ASS,Std_UNASS
Meta-Llama-3-70B-Instruct,0.4,8.12,0.7,10.89
gemma-2-27b-it,0.4,13.2,0.7,17.06
phi-4,0.4,16.35,0.7,20.25
Phi-3-medium-128k-instruct,1.61,20.12,1.14,24.02
gemma-2-9b-it,1.21,17.33,1.34,21.33
Meta-Llama-3-8B-Instruct,1.21,20.43,2.1,20.61
Orca-2-7b,3.63,34.43,3.1,32.36
deepseek-llm-7b-chat,0.81,33.94,0.81,36.8
Mistral-7B-Instruct-v0.2,6.05,37.5,7.93,34.46
Phi-3.5-mini-instruct,6.45,42.25,5.47,36.11
Phi-3-mini-128k-instruct,9.27,51.85,10.6,42.68
Llama-3.2-3B-Instruct,5.65,37.41,4.19,26.59
gemma-2-2b-it,2.02,31.04,2.1,30.48
Llama-3.2-1B-Instruct,14.52,53.76,12.23,30.88
