LANGUAGES,United States,India,China,Russia,Saudi Arabia,France,Nepal,Japan,Ukraine,Greece,Turkey,Kenya,Thailand
English,0,0,1,1,7,0,5,0,2,2,0,4,0
Hindi,46,28,60,56,60,52,58,44,56,56,50,60,59
Chinese,29,45,5,21,51,32,54,14,52,44,57,58,51
Russian,17,16,6,8,44,14,40,9,11,12,24,52,28
Arabic,47,58,58,52,57,59,61,58,61,58,59,54,60
French,0,8,5,8,20,1,13,0,10,10,5,10,3
Nepali,51,30,56,57,58,54,52,51,55,50,51,56,57
Japanese,22,30,16,15,53,15,55,3,33,35,34,56,32
Ukrainian,16,16,13,12,46,12,40,7,8,15,23,50,29
Greek,53,47,42,53,52,53,50,44,47,28,44,48,52
Turkish,10,23,24,13,55,15,18,11,17,19,5,22,14
Swahili,49,27,39,49,41,27,34,23,25,49,50,16,28
Thai,47,53,57,47,54,57,59,55,55,57,58,58,45
