LANGUAGES,United States,India,China,Russia,Saudi Arabia,France,Nepal,Japan,Ukraine,Greece,Turkey,Kenya,Thailand
English,0,0,0,1,6,0,8,0,3,5,0,4,1
Hindi,30,10,47,34,47,42,30,28,38,36,33,36,33
Chinese,26,43,3,40,56,48,54,31,49,49,59,55,61
Russian,7,11,6,1,25,7,24,2,11,9,9,22,16
Arabic,27,36,43,36,32,41,55,39,48,42,56,48,53
French,1,6,2,7,11,0,6,1,5,7,1,8,1
Nepali,30,10,46,43,47,50,22,32,44,44,40,42,42
Japanese,19,31,27,32,45,39,49,12,41,33,52,41,45
Ukrainian,8,10,8,7,23,7,24,2,4,10,9,23,14
Greek,33,36,32,31,36,37,34,31,29,12,25,35,27
Turkish,10,16,11,11,37,12,16,7,15,23,3,18,13
Swahili,33,13,20,54,23,14,20,10,15,45,47,15,16
Thai,43,51,52,45,56,57,57,56,50,52,60,57,22
