LANGUAGES,United States,India,China,Russia,Saudi Arabia,France,Nepal,Japan,Ukraine,Greece,Turkey,Kenya,Thailand
English,0,0,1,1,11,0,13,0,4,4,2,5,9
Hindi,20,6,12,16,41,19,41,10,34,28,36,56,44
Chinese,5,8,1,4,39,7,48,2,13,16,27,32,31
Russian,2,4,4,0,22,3,29,1,7,5,6,25,8
Arabic,12,12,15,15,30,22,56,10,34,28,34,57,46
French,0,4,0,3,10,0,9,1,4,3,1,6,1
Nepali,18,14,13,18,48,26,27,10,43,31,46,60,56
Japanese,0,8,3,2,37,0,41,0,9,9,7,32,11
Ukrainian,5,3,9,10,30,5,31,4,4,11,9,30,16
Greek,40,25,20,33,42,39,32,22,39,14,32,41,26
Turkish,5,8,12,7,35,10,13,5,9,14,0,10,9
Swahili,2,4,8,11,12,9,14,5,4,16,18,5,9
Thai,27,21,14,26,56,28,54,13,50,32,48,46,16
