LANGUAGES,United States,India,China,Russia,Saudi Arabia,France,Nepal,Japan,Ukraine,Greece,Turkey,Kenya,Thailand
English,2,6,15,7,38,2,30,6,17,19,20,20,18
Hindi,25,8,21,23,52,35,46,26,48,43,42,57,53
Chinese,17,34,6,17,46,22,56,13,36,37,37,51,45
Russian,21,33,25,22,55,23,56,26,27,36,38,53,48
Arabic,20,45,24,20,33,23,57,10,45,37,37,56,50
French,1,8,4,11,23,0,5,3,18,7,4,18,3
Nepali,27,13,29,29,55,43,35,29,51,46,49,57,53
Japanese,11,30,14,17,52,14,61,6,31,31,43,56,32
Ukrainian,26,40,28,27,45,23,54,28,13,36,34,55,50
Greek,23,20,18,23,45,15,32,7,37,14,24,42,23
Turkish,6,18,13,10,58,12,22,3,18,10,14,13,16
Swahili,8,10,18,18,32,11,23,11,18,42,13,28,13
Thai,23,47,20,25,58,28,56,8,57,32,58,59,12
