LANGUAGES,United States,India,China,Russia,Saudi Arabia,France,Nepal,Japan,Ukraine,Greece,Turkey,Kenya,Thailand
English,0,0,0,1,9,1,5,0,3,1,2,3,0
Hindi,8,5,9,9,30,15,21,3,24,20,24,39,30
Chinese,9,7,2,6,39,9,50,1,17,16,20,44,16
Russian,4,10,4,2,19,5,40,0,9,7,6,34,13
Arabic,7,17,12,12,14,10,52,4,20,18,10,43,32
French,0,6,3,2,15,1,7,0,7,4,3,8,3
Nepali,6,6,11,11,30,19,7,8,32,25,31,40,45
Japanese,3,8,5,3,24,3,48,0,17,23,12,41,8
Ukrainian,6,9,6,6,26,7,39,1,1,12,5,38,18
Greek,7,10,6,4,25,7,28,3,10,1,8,24,13
Turkish,3,8,8,4,21,7,12,3,10,6,1,14,8
Swahili,2,1,6,7,9,3,6,0,4,4,2,5,1
Thai,6,16,5,9,38,9,50,6,38,26,29,50,1
