LANGUAGES,United States,India,China,Russia,Saudi Arabia,France,Nepal,Japan,Ukraine,Greece,Turkey,Kenya,Thailand
English,0,3,0,1,11,0,6,0,3,3,2,8,1
Hindi,9,3,17,10,23,13,17,8,26,21,20,28,29
Chinese,6,19,3,11,41,14,43,10,17,15,31,32,40
Russian,4,8,6,0,32,7,35,1,6,6,9,29,23
Arabic,9,18,21,11,17,13,41,12,21,18,25,29,37
French,1,5,0,3,13,0,8,0,10,4,2,9,1
Nepali,9,11,24,15,34,28,4,14,29,23,29,36,39
Japanese,3,16,6,6,38,9,32,0,15,17,29,38,22
Ukrainian,5,11,11,9,33,5,29,2,1,13,11,23,18
Greek,5,11,7,5,21,4,20,4,18,0,8,28,7
Turkish,6,11,9,6,34,6,11,4,6,24,0,12,5
Swahili,11,9,10,39,21,8,9,3,4,39,36,8,5
Thai,4,29,15,13,34,13,45,10,29,26,46,40,1
